ID,Realm,EBV_class,EBV_name,Step_in_identification_process,Spatial_resolution_unit,Temporal_resolution_unit,Taxonomic_ecosystem_focus_group
45a,Terrestrial,Species populations,Species abundances of terrestrial birds,User & Policy Needs Assessment,1x1km - 10x10km,1 year,"- Taxonomy based on the Handbook of the Birds of the World and the BirdLife Taxonomic Checklist- Rare bird species as included in the Annex 1 of the Birds Directive (i.e. species with small populations or restricted local distribution)- Priority bird species as included in Annex 1 of the Birds Directive (i.e. in danger of extinction, vulnerable to specific changes in their habitat or requiring particular attention for reasons of the specific nature of the habitat)- Common bird species as included in the Pan-European Common Bird Monitoring Scheme (PECBMS)"
45b,Terrestrial,Species populations,Species abundances of terrestrial migratory birds,User & Policy Needs Assessment,1x1km - 10x10km,Real-time,#NAME?
46,Terrestrial,Species populations,Species abundances of selected terrestrial mammals,User & Policy Needs Assessment,1x1km - 10x10km,1 year,"Terrestrial Carnivora, Artiodactyla and Chiroptera species included in the European Red List."
47,Terrestrial,Species populations,Species distributions of all terrestrial mammals,User & Policy Needs Assessment,10x10km - 50x50km,3 or 6 years,European terrestrial mammal species included in the European Red List.
48,Terrestrial,Species populations,Species distributions of terrestrial reptiles,User & Policy Needs Assessment,1x1km - 10x10km,3 or 6 years,European terrestrial reptile species included in the European Red List.
49,Terrestrial,Species populations,Species abundances of butterflies,User & Policy Needs Assessment,10x10km - 50x50km,1 year,"Current list of butterfly species underlying the European grassland butterfly indicator, with extension to butterfly species from other habitats."
50,Terrestrial,Species populations,Species distributions of terrestrial priority invertebrates and key pollinators,Internal review process,10x10km - 50x50km,3 or 6 years,#NAME?
51,Terrestrial,Species populations,Species distributions of terrestrial plants,User & Policy Needs Assessment,- Priority species: 1 Ã 1 km â 10 Ã 10 km - All vascular plant species: 10 Ã 10 km â 50 Ã 50 km,- Priority species: 1 year- All vascular plant species: 3 or 6 years,#NAME?
52,Terrestrial,Species populations,Species distributions of main trees,Expert workshop,10x10km - 50x50km,3 or 6 years,Tree species included in the EU-Trees4F dataset (67 species)
53,Terrestrial,Species populations,Species distributions of lichens (as indicators of pollution),Expert workshop,10x10km - 50x50km,3 or 6 years,Ecological quality indicator lichens as defined in POPLAIR and other sources
54,Terrestrial,Species populations,Species distributions of invasive alien terrestrial taxa of European concern,User & Policy Needs Assessment,1x1km - 10x10km,3 or 6 years,Species specified in the List of Invasive Alien Species of Union Concern
55a,Terrestrial,Species populations,Species abundances of selected terrestrial disease vectors,User & Policy Needs Assessment,10x10km - 50x50km,Real-time,The taxonomic scope for disease vectors is defined by the European Centre for Disease Prevention and Control (ECDPC)
55b,Terrestrial,Species populations,Species abundances of selected terrestrial crop pests,User & Policy Needs Assessment,100x100m - 1x1km,Strongly species-dependent,The taxonomic scope for crop pests is defined in EU list of priority pests
56,Terrestrial,Species traits,Phenology of fructification of mushrooms and wild fruits,User & Policy Needs Assessment,1x1km - 10x10km,1 week,#NAME?
57,Terrestrial,Species traits,Phenology of flowering and leaf senescence,User & Policy Needs Assessment,10x10km - 50x50km,1 week-1 month,Flowering plants and deciduous trees
58a,Terrestrial,Species traits,Phenology of migration of terrestrial birds,Expert workshop,10x10km,1 week (traits derived from weekly distribution data),Migratory bird species defined as full migrants in the European Red List
58b,Terrestrial,Species traits,Phenology of the emergence of butterflies,Expert workshop,10x10km,1 week (traits derived from weekly distribution data),Priority butterfly species listed in the Annex II and Annex IV of the Habitats Directive
59/60,Terrestrial,Community composition,"Community biomass of selected functional groups of terrestrial arthropods (e.g. predator, decomposer)",Expert workshop,#NAME?,1 year,The taxonomical scope should be defined with the help of experts
61,Terrestrial,Community composition,Community biomass of soil microbes,Internal review process,1x1km,3 years,Soil microbial species
62,Terrestrial,Community composition,Community abundance and taxonomic diversity of pollinator insects,User & Policy Needs Assessment,Small regions within countries based on nomenclature of territorial units for statistics (NUTS) from Eurostat (1166 regions at NUTS 3 level),1-5 years (rotation across years),"All pollinator insects as proposed in the species lists of butterflies, wild bees and hoverflies of the EU Pollinator Monitoring Scheme (EUPoMS)"
63,Terrestrial,Community composition,"Aerial biomass of migrating birds, bats and insects",User & Policy Needs Assessment,1x1km - 10x10km,1 day,"All migratory bird, bat and insect species (by size class)"
64,Terrestrial,Community composition,Functional composition of soil biota,User & Policy Needs Assessment,1x1m,1 year,"Bacteria, fungi, protozoa, nematodes, collembola, mites, earthworms, larval and adult insects (e.g. Hymenoptera, Coleoptera and Diptera larvae), myriapods, spiders, molluscs and crustaceans"
65,Terrestrial,Ecosystem structure,Vertical structure of terrestrial vegetation,Expert workshop,1x1m-10x10m,5 years,European terrestrial land areas
66,Terrestrial,Ecosystem structure,Ecosystem distribution of terrestrial EUNIS Habitats,User & Policy Needs Assessment,10x10km,1 year,EUNIS terrestrial habitats (e.g. level 3 or 4)
67,Terrestrial,Ecosystem structure,Connectivity of terrestrial ecosystem habitat types,User & Policy Needs Assessment,10x10km,1 year,EUNIS habitats
69,Terrestrial,Ecosystem function,Terrestrial primary productivity,User & Policy Needs Assessment,10x10m,10 days,European terrestrial land areas
70,Terrestrial,Ecosystem function,Fire disturbance per habitat type,Internal review process,10x10m,10 days,European terrestrial land areas and EUNIS forest habitats (e.g. level 3 or 4)
71,Terrestrial,Ecosystem function,Ecosystem disturbance as measured by HANPP,Internal review process,10x10m,10 days,European terrestrial land areas
72,Terrestrial,Ecosystem function,Terrestrial ecosystem phenology,User & Policy Needs Assessment,10x10m,1 year,European terrestrial land areas
73,Terrestrial,Ecosystem function,Standing and lying deadwood,KCBD ad hoc monitoring group meeting,100x100m,3 years,EUNIS forest habitats (e.g. level 3 or 4)
