EAV,Definition,Agricultural_Land_Includes_or_is_Indicated_by,GEOGLAM_Agriculture_Indicator_Category,Application_or_Policy_Supported,Frequency_of_Update,Spatial_Unit,EAV_Stewards
Non-Perennial Cropland Mask,"A binary map of land to produce food, fiber, and fuel, where at least one crop is sowed/planted and fully harvestable typically within the 12 months after the sowing/planting date (with exceptions made for longer fully harvestable crops like sugarcane and sorghum). The map must refer to a given reference period (typically a growing season corresponding to the target crops).","For all non-perennial (aka “annual crops”, which are sowed and harvested after 1 growing season), excluding lands indicated by Managed Grasslands and Seasonal Fallow EAVs. The map shall follow a common hierarchical typology with common aggregation levels, as proposed by JECAM. Distinction between rainfed and irrigated should be made where possible.",Land Use,"Policy areas supported include: Land cover/use state & change; SDG 2; UNFCCC
 
 1. Greenhouse gas reporting
 2. Farm support programs
 3. Information for commodity markets
 4. Early warning for food security
 5. Changes in the agricultural landscape
 6. Land degradation","Seasonal updates taking into account major growing seasons per agro-ecological zones (e.g. winter crops, spring, summer, short rainy season, long rainy season, etc.)",Field Scale,"Bettina Baruth, Ian Jarvis, Miao Zhang"
Managed Grasslands Mask,"A binary map of land seasonally or annually sown with grasses or herbaceous forage for grazing and/or mowing. If there is no sowing or harvesting for more than one year, then the lands are considered rangelands.",Managed Grasslands,Land Use,"Policy areas supported include: Land cover/use state & change; SDG 2; UNFCCC
 
 1. Greenhouse gas reporting
 2. Farm support programs
 3. Information for commodity markets
 4. Early warning for food security
 5. Changes in the agricultural landscape
 6. Land degradation","Annual updates, taking into account growing seasons. Updates occur at the end of the major growing season, so that changes can be detected over multiple growing seasons)",Field Scale,"Juan Pablo Guerschman, Sven Gilliams"
Crop Yield Forecast,"Within season, pre-harvest forecast of harvestable weight* of commodity per unit area* (*definitions must be declared","Each nationally relevant crop group or crop type, as appropriate, accounting for ~80% of total area under production.",Productivity,"Markets & trade, (re)insurance, humanitarian, Industry","Weekly to monthly, within each cropping cycle","Within-field, Field; subnational admin units; National","Belen Franch, Bettina Baruth, Inbal Becker-Reshef"
Crop Yield Estimation,End of season harvestable weight* of commodity per unit area* (*definitions must be declared),"Each nationally relevant crop type, accounting for ~80% of total area under production",Productivity,Policy & Yield Gap Assessments; Changes through time; SDG 2 and 15; UNFCCC; UNCCD; evaluating and guiding policy interventions; statistics; markets & trade; insurance; humanitarian,Once per season as close as possible to harvest time,Field; subnational admin units; National,"Belen Franch, Inbal Becker-Reshef"
Crop Type Area Estimate,A quantitative determination of the horizontal projection of the area under identified crop types.,"Estimates can be created for non-perennial and perennial crop types, as well as managed grasslands and mosaics (defined as mixed cropping including agroforestry mosaics), where the type is declared. GEOGLAM prioritizes that crop type area estimates should be created for the crops that account for at least 80% of total area under production.",Land Use,Land cover/use state & change; agricultural production and trade; agricultural statistics; humanitarian,"Seasonally, ideally 1-2 months before the crop’s harvest, and no later than one month after the crop’s harvest",Field Scale,"Alyssa Whitcraft, Andrew M. Davidson, Bettina Baruth, Pierre Defourny, Sophie Bontemps, Sven Gilliams"
Cropland Mask,"A binary map of land devoted to agriculture for the cultivation of perennial crops, non-perennial crops, and managed grasslands. It does not include lands indicated by Rangelands or Seasonal Fallow masks.",Non-Perennial Cropland Mask and Perennial Cropland Mask,Land Use,"Policy areas supported include: Land cover/use state & change; SDG 2; UNFCCC
 1. Greenhouse gas reporting
 2. Farm support programs
 3. Information for commodity markets
 4. Early warning for food security
 5. Changes in the agricultural landscape
 6. Land degradation",Annual Update,"Standard products at 1 Ha resolution, based on generalization of mapping categories generated at lower levels of the hierarchy developed at higher or similar resolutions","Bettina Baruth, Ian Jarvis, Juan Pablo Guerschman, Miao Zhang"
Crop Type Masks,"A spatially-explicit determination of identified types of non-perennial crops, types of perennial crops, managed grasslands, and/or of mixed-crop mosaics, as identified within the Cropland Mask. Types can be grouped into categories and/or hierarchies (for example, aggregation levels following JECAM description). Where categorical or hierarchical classification systems are in use, product should include documentation and definitions.","Includes non-perennial and perennial crop types, as well as managed grasslands and mosaics (defined as mixed cropping including agroforestry mosaics), where the type is declared. The map shall follow a common hierarchical typology with common aggregation levels, as proposed by JECAM. GEOGLAM prioritizes that crop type masks should be created for the crops that account for at least 80% of total area under production.",Land Use,"Policy areas supported include: Land cover/use state & change; SDG 2; UNFCCC
 1. Greenhouse gas reporting
 2. Farm support programs
 3. Information for commodity markets
 4. Early warning for food security
 5. Changes in the agricultural landscape
 6. Land degradation","Per growing season for non-perennial crops; annual for managed grasslands and perennial crops. Mosaics either per growing season and annual, as appropriate for mosaic constituents.",Field Scale,"Alyssa Whitcraft, Hongwei Zeng, Ian Jarvis, Mykola Lavreniuk, Pierre Defourny, Sophie Bontemps, Sven Gilliams"
Incoming Radiation,"Incoming radiation represents the amount of energy radiating from the sun to the land surface, including direct radiation and diffuse radiation.",Agricultural Mask,Productivity,"Food security and market phenology, yield",Daily,Landscape,"Belen Franch, Jinlong Fan"
Relative Humidity,Relative humidity is the ratio of the amount of atmospheric moisture present relative to the amount that would be present if the air were saturated with respect to water or ice to be specified in the metadata (%).,Agricultural Mask,Productivity,"Food security, yield, pest, and crop disease",Hourly,Landscape,Jinlong Fan
Wind Speed,Speed of air at a known height above the surface which is to be specified in the metadata (m/s). Direction from which wind is blowing at a known height above the surface which is to be specified in the metadata (degree true).,Agricultural Mask,Productivity,"SDG, Crop production, Crop monitoring, food security, water balance, evapotranspiration, lodging and crop damage",3 Hours,"Landscape, 10km",Jinlong Fan
Crop Condition Assessment,Qualitative indicator of crop health status relative to short-term reference* (*definition must be declared),"Each nationally relevant crop type, accounting for ~80% of total area under production",Productivity,"Markets & trade, insurance, humanitarian, pest and disease impact monitoring","Weekly to monthly, within each cropping cycle",Field and sub-national admin units,"Ian Jarvis, Inbal Becker-Reshef, Felix Rembold, Shumilo, Leonid, Mario Zappacosta, Miao Zhang, Rogerio Bonifacio"
Agriculture Mask,"A binary map of land devoted to agriculture, defined as the systematic and controlled use of land and livestock to produce food, fiber, and fuel. This includes croplands (as defined in the Cropland Mask), rangelands (as defined in the Rangeland Mask), and seasonally fallow lands (as defined by the Seasonal Fallow Mask).","Cropland Mask, Rangeland Mask, and Seasonal Fallow Mask",Land Use,"Policy areas supported include: Land cover/use state & change; SDG 2; UNFCCC
 1. Greenhouse gas reporting
 2. Farm support programs
 3. Information for commodity markets
 4. Early warning for food security
 5. Changes in the agricultural landscape
 6. Land degradation",Annual update,"Standard products at 1 Ha resolution, based on generalization of mapping categories generated at lower levels of the hierarchy developed at higher or similar resolutions","Ian Jarvis, Juan Pablo Guerschman, Bettina Baruth"
